################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
1916949 47359 155 449.46 584 939 4127 15479
2252297 12519 159 439.79 577 851 3515 5243
2234196 8131 157 442.74 575 896 4179 5139
2233628 6663 156 441.16 574 919 4053 4955
2234957 7339 156 441.65 577 932 4059 4951
2237968 6279 158 441.68 576 912 4061 4855
2248068 5859 153 442.21 577 912 4039 4863
2249199 6511 160 442.39 576 907 4123 4979
2246728 8011 159 441.86 578 909 4033 4891
2240660 7311 156 444.54 579 901 4227 5275
2224358 7151 157 447.99 582 900 4511 5703
2248438 6227 157 443.81 578 903 4115 5183
2252721 18207 159 442.83 578 915 4053 4963
2251472 5763 159 442.36 578 914 4069 4931
2254150 8171 162 442.96 578 907 4123 5163
2250758 6079 157 442.88 579 921 4103 4923
2248018 5935 152 443.62 580 925 4111 4979
2261811 6423 160 443.02 578 909 4103 4955
2255494 6307 161 442.3 577 918 4023 4867
2255363 6727 157 443.09 579 912 4067 4979
2250930 9023 160 443.06 579 929 4127 5115
2249646 6483 157 442.47 579 932 4059 4939
2252934 6363 162 443.26 581 928 4039 4891
2250480 6439 159 443.6 581 922 4087 5015
2255617 7475 156 443.5 580 918 4061 5011
2260377 5507 158 442.39 578 920 4021 4879
2256131 7579 153 442.93 580 924 4057 4975
2261426 6827 160 442.68 580 911 4059 4919
2250149 5847 159 443.23 580 924 4103 4959
2256409 5919 160 443.75 581 919 4107 4927
2261482 6163 163 443.48 579 917 4081 4935
2258033 6311 158 443.77 580 912 4079 4991
2256986 8115 160 443.17 579 913 4057 4931
2259945 8351 159 443.96 582 920 4045 4955
2262513 6163 158 443.28 581 915 4079 4987
2257447 6211 158 443.99 581 917 4057 4915
2259202 6235 162 443.12 580 913 4063 4967
2260244 5655 152 443.88 580 920 4089 4891
2260388 7903 157 443.48 581 923 4033 4891
2253520 8079 157 443.82 582 934 4053 4903
2250954 10263 163 443.46 582 929 4045 4915
2257566 6043 158 444.05 582 930 4071 4907
2256297 8791 156 444.73 583 929 4083 4955
2262705 12575 156 444.88 582 924 4099 5003
2265531 7703 160 443.99 582 912 4083 4963
2261474 6323 161 444.58 583 920 4079 4911
2255315 208895 158 445.54 583 930 4143 4999
2260273 6715 149 444.68 582 927 4135 5055
2261202 5879 153 443.88 581 920 4025 4891
2264301 6035 161 444.09 582 923 4079 4939
2266038 8127 162 443.88 581 924 4035 4871
2261526 6259 157 444.27 582 925 4115 5011
2258540 5803 152 445.2 584 920 4111 4971
2258379 6035 163 444.78 584 917 4059 4971
2261178 5967 157 444.25 583 919 4049 4927
2259720 7003 159 444.78 583 920 4085 5047
2257735 8007 160 444.8 583 928 4127 5043
2264302 6131 162 445 583 913 4089 5003
2247522 7127 155 444.52 584 933 4155 5095
2263327 6575 160 444.85 582 910 4143 5027
2260272 5839 155 444.5 583 918 4119 4995
2256458 5847 164 445.14 583 927 4135 5007
2267192 7987 155 443.9 581 911 4107 4935
2258337 5663 166 444.92 583 929 4083 4939
2262393 6535 165 444.99 582 921 4171 5095
2258810 6851 154 445.3 583 924 4167 5079
2260918 6291 159 444.38 583 921 4079 4959
2259475 6483 155 445.04 583 928 4115 5027
2256203 8623 161 445.03 583 927 4195 5307
2262334 5931 160 444.07 583 919 4083 4963
2262090 8455 158 444.53 582 927 4107 4951
2263513 5767 161 444.34 582 926 4103 4951
2262991 6059 160 445.14 584 917 4127 5027
2254158 6251 163 444.65 583 929 4107 5023
2261836 7903 163 444.38 583 926 4089 4991
2257127 6091 160 444.29 583 931 4099 5003
2251120 6463 160 444.78 583 931 4159 5027
2259386 6111 163 444.92 584 929 4147 4995
2263502 6211 156 444.46 583 920 4143 4979
2266665 6267 158 444.6 583 927 4111 5015
2258772 8151 155 445.24 584 932 4183 5099
2257396 7703 158 444.57 582 922 4195 5179
2262261 6443 157 444.73 582 914 4155 5031
2262488 6803 163 444.91 582 916 4099 4939
2263312 6239 162 445.06 583 914 4075 4935
2264316 5715 155 445.25 584 915 4103 4935
2258136 8271 163 445.45 584 922 4143 5047
2266424 6283 165 444.87 583 915 4123 5027
2256723 6615 163 444.69 583 926 4139 5011
2266646 6347 147 445.35 583 913 4093 5031
2264446 6871 163 445.17 583 916 4155 5111
2258703 6543 158 444.79 584 917 4147 5135
2253761 11679 152 447.2 586 936 4191 5331
2266499 6715 158 444.33 583 914 4151 5143
2251743 6911 160 444.62 584 926 4139 5063
2259907 12703 166 446.23 585 920 4199 5127
2264234 6467 159 445.77 585 922 4167 5087
2260974 6071 161 446.03 586 935 4167 5063
2256389 8111 159 445.89 585 940 4115 4991
2262332 6091 164 445.08 584 924 4127 5043
2267960 6815 154 444.51 584 916 4085 4991
2265101 6683 156 444.56 584 914 4167 5123
2268613 5891 162 444.79 583 923 4171 5071
2266046 5963 161 444.85 583 915 4159 5075
2264311 8123 157 445.27 584 918 4147 5167
2256650 5971 157 445.45 585 929 4163 5051
2259246 6011 158 446.04 586 933 4119 4987
2259202 6455 156 445.88 587 924 4143 5095
2262788 6587 155 445.65 585 918 4151 5079
2261745 7363 158 444.37 584 918 4089 5027
2252760 8215 165 446.54 586 932 4303 5895
2262272 6407 164 445.26 586 924 4131 5071
2261606 6423 166 444.67 584 915 4131 5059
2253450 6187 156 445.91 586 935 4183 5107
2258963 6679 156 445.8 587 931 4099 5003
2262081 6107 157 445.81 585 922 4147 5079
2256233 6259 163 446.41 586 933 4171 5151
2253900 7211 163 446.4 587 930 4207 5239
2253831 8687 164 446.28 586 927 4203 5307
2262539 8623 156 445.53 585 921 4155 5167
2259275 5911 157 445.99 586 923 4199 5127
2260953 6111 161 446.18 586 920 4187 5091
2264575 7995 165 445.27 585 920 4171 5135
2258176 7347 154 446.08 586 924 4231 5375
2264534 6119 166 446.21 586 927 4191 5135
2261256 8735 134 445.94 586 919 4219 5155
2248493 41055 158 448.3 586 923 4279 5455
2250929 5803 164 446.96 586 947 4027 4843
2255984 6771 161 446.25 586 936 4031 4851
2259455 6235 158 446.99 585 941 4067 4875
2251905 7403 156 446.4 585 943 4067 4923
2244816 6935 157 446.77 587 954 4029 4851
2254628 8583 161 447.06 587 935 4095 4971
2255745 6459 158 447.12 588 946 4027 4835
2249652 8671 156 447.47 587 947 4059 4899
2245363 7299 155 447.62 587 959 4065 4991
2251210 6627 153 447.16 588 952 4047 4883
2256841 6107 158 447.47 589 944 4055 4871
2252316 6523 156 447.35 587 947 4139 5031
2259124 6223 159 446.49 586 930 4031 4863
2259118 8183 156 446.78 586 932 4087 4911
2256311 5863 160 446.94 586 943 4055 4863
2261559 5911 155 445.96 585 932 4005 4835
2258438 6735 153 447.14 586 938 4143 5071
2255510 5943 161 446.99 587 943 4027 4883
2265623 6503 159 445.75 584 919 4065 4935
2254991 8063 156 446.2 586 941 4027 4867
2261746 8095 160 446.79 586 935 4051 4911
2249656 6655 167 446.08 586 941 4023 4875
2240619 5811 164 447.09 588 960 4069 4887
2248249 9207 165 447.97 588 957 4151 5091
2258634 5775 159 446.33 585 934 4035 4887
2262521 8519 162 446.49 586 922 4103 4943
2257134 6427 164 446.95 586 943 4119 4995
2256125 6391 157 447.51 587 940 4079 4927
2254586 6399 160 447.46 588 937 4103 4931
2258512 6395 157 446.71 586 932 4127 5019
2255924 6159 157 447.42 587 943 4171 5015
2255354 8031 153 447.27 588 939 4079 4983
2253591 5683 163 447.91 590 950 4059 4879
2251047 8695 158 447.54 589 947 4111 5003
2260669 6315 156 448.06 588 937 4123 4987
2255329 5735 155 447.6 589 943 4059 4863
2263319 5767 161 446.2 586 927 4051 4887
2257172 9383 154 446.92 587 936 4119 4991
2257052 7227 155 446.81 588 941 4099 4951
2257396 5719 160 446.99 588 942 4087 4943
2252532 6919 165 446.29 587 933 4065 4915
2257742 15119 160 446.26 586 923 4061 4895
2255994 6011 160 447.34 587 930 4147 5015
2253651 8623 158 447.85 589 941 4119 5331
