################################
## INSERT
################################
Count Max Min Avg P90 P99 P99.9 P99.99
672456 92159 424 1447.64 2049 4587 7959 76671
797481 11391 452 1355.82 1851 3091 5815 8207
761347 325119 429 1411.78 1938 3239 5755 10551
795187 15799 423 1365.89 1865 2985 5867 9079
789119 13471 415 1375.21 1877 2977 5919 8487
781739 14103 431 1388.64 1904 3333 6359 8991
786064 11991 425 1378.34 1876 3267 6175 8439
761181 12647 437 1418.74 1959 3779 6471 8847
742701 12759 431 1447.2 2018 3795 6163 8407
734703 14199 459 1466.49 2025 3683 6407 9279
728962 14463 457 1478.94 2061 3683 6411 8335
723625 16511 440 1481.32 2046 3729 6319 10007
718786 13967 454 1495.56 2101 4039 6331 8671
719680 15143 446 1491.89 2083 3705 6371 8975
726987 13903 409 1481.58 2063 3705 6247 8287
721001 13135 393 1494.35 2077 3463 6455 9343
723682 13535 443 1487.08 2089 3797 6291 8599
719404 13431 424 1495.19 2101 3891 6251 8599
716091 21631 426 1495.72 2127 3969 6615 9311
719757 15863 444 1492.48 2085 3775 6287 8911
729742 12679 435 1477.09 2075 3845 6323 8639
722633 16847 432 1488.12 2079 3729 6463 9975
722077 14519 461 1496.31 2105 3883 6319 8399
723987 19135 457 1485.83 2067 4033 6419 10711
725856 13951 406 1480.08 2071 3831 6395 8807
717984 16895 425 1502.37 2097 3927 6263 9767
717572 11815 447 1505.56 2111 3875 6299 8807
715249 16847 468 1511.85 2087 3793 6603 11191
720806 15319 426 1498.36 2109 4019 6235 9479
716326 14719 422 1496.33 2085 3837 6323 9487
717159 53023 444 1505.33 2113 3887 6771 25551
709198 15423 451 1517.62 2133 4087 6383 9479
722381 13543 441 1488.48 2089 3895 6619 8679
712669 13327 415 1506.34 2105 3913 6235 9327
725971 16039 447 1477.2 2081 3861 6431 9759
706917 15015 419 1523.78 2135 3789 6603 10143
712389 17119 443 1511.89 2145 4107 6455 9567
710350 15375 446 1510.57 2109 3989 6439 8959
720239 13127 378 1487.18 2083 4031 6419 8847
707583 18959 461 1518.15 2115 3819 6419 9295
712510 26687 411 1507.12 2121 4015 6631 11055
708327 14575 429 1523.8 2133 3987 6415 9191
717223 14095 427 1503.14 2089 3761 6191 9015
703491 15415 434 1526.45 2145 3909 6431 9007
711305 15615 404 1508.04 2121 3967 6455 9087
713608 13855 439 1509.51 2093 3971 6455 9039
712928 13815 437 1510.75 2117 4199 6355 8607
709467 15039 448 1514.4 2113 3867 6615 9847
708133 16367 449 1518.28 2133 4053 6391 10223
709830 13663 432 1512.52 2111 3741 6435 8951
707141 17199 440 1517.22 2133 3973 6407 10399
710396 15399 429 1512.87 2121 3939 6651 9911
707604 14703 431 1519.91 2141 4021 6503 9471
702366 15367 419 1525.92 2159 3891 6303 9391
702665 21119 433 1528.01 2165 4139 6499 10767
707079 17087 421 1520.1 2113 3725 6367 9567
708977 17119 412 1513.91 2123 3885 6267 10503
690069 26911 430 1558.13 2207 4123 6507 9431
705362 20671 422 1523.37 2139 3877 6463 11631
702099 16399 461 1528.6 2141 3971 6491 9639
706038 16263 447 1516.2 2129 3905 6387 8895
698556 15863 421 1523.86 2153 3991 6667 11031
704878 16231 444 1518.32 2131 3867 6447 9871
701117 16255 441 1522.35 2163 3905 6311 9039
702727 15839 445 1522.57 2151 3961 6539 9671
691810 14679 447 1548.53 2199 4089 6539 10063
702398 17215 445 1524.76 2161 3981 6067 8951
695174 12511 457 1533.28 2173 3981 6447 8919
705826 16783 444 1514.31 2127 3817 6331 9503
697975 14247 425 1522.19 2143 3707 6447 8935
696328 15031 445 1536.77 2177 4123 6467 9063
693654 24639 452 1539.51 2169 3919 6439 11791
693009 13143 444 1539.6 2195 4009 6283 8335
688856 16975 465 1547.58 2209 4187 6471 10431
696214 23167 407 1515.47 2139 3915 6427 9951
693272 13527 456 1532.76 2167 4059 6515 9455
696185 15199 435 1528.05 2157 4175 6559 10295
685574 15831 414 1549.18 2197 4009 6547 9807
694477 12863 433 1528.09 2145 3863 6339 8687
691508 16943 423 1537.77 2171 4087 6531 9439
689577 14719 449 1532.7 2157 3941 6767 10047
689797 17311 405 1535.51 2177 4005 6371 10351
681938 25919 427 1550.01 2193 4091 6559 10071
688843 26271 444 1534.87 2171 3943 6443 10263
681547 15471 409 1550.74 2207 4091 6651 10975
690398 13455 437 1530.33 2157 3965 6487 9319
